Accession	Version	Description	Plasmid	Organism	Species	Genus	Family	Order	Class	Phylum	Domain	Collection_date	Geo_location	Isolation_source	Note	Length	GC_content	Replicon_type	MOB_type	Clique	Replicon_candidate
NC_009932	NC_009932.1	Acaryochloris marina MBIC11017 plasmid pREB7, complete sequence	pREB7	Acaryochloris marina MBIC11017	Acaryochloris marina	Acaryochloris	Acaryochloridaceae	Synechococcales	NA	Cyanobacteria	Bacteria	NA	NA	NA	type strain of Acaryochloris marina	155110	0.455909	NA	NA	NA	NA
NC_009933	NC_009933.1	Acaryochloris marina MBIC11017 plasmid pREB8, complete sequence	pREB8	Acaryochloris marina MBIC11017	Acaryochloris marina	Acaryochloris	Acaryochloridaceae	Synechococcales	NA	Cyanobacteria	Bacteria	NA	NA	NA	type strain of Acaryochloris marina	120693	0.454185	NA	NA	NA	NA
NC_009934	NC_009934.1	Acaryochloris marina MBIC11017 plasmid pREB9, complete sequence	pREB9	Acaryochloris marina MBIC11017	Acaryochloris marina	Acaryochloris	Acaryochloridaceae	Synechococcales	NA	Cyanobacteria	Bacteria	NA	NA	NA	type strain of Acaryochloris marina	2133	0.425223	NA	NA	NA	NA
NC_009939	NC_009939.1	Deinococcus geothermalis DSM 11300 plasmid pDGEO02, complete sequence	pDGEO02	Deinococcus geothermalis DSM 11300	Deinococcus geothermalis	Deinococcus	Deinococcaceae	Deinococcales	Deinococci	Deinococcus-Thermus	Bacteria	NA	NA	NA	NA	205686	0.666467	NA	NA	NA	NA
NC_009955	NC_009955.1	Dinoroseobacter shibae DFL 12 plasmid pDSHI01, complete sequence	pDSHI01	Dinoroseobacter shibae DFL 12 = DSM 16493	Dinoroseobacter shibae	Dinoroseobacter	Rhodobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	190506	0.601293	NA	NA	NA	NA
NC_009956	NC_009956.1	Dinoroseobacter shibae DFL 12 plasmid pDSHI02, complete sequence	pDSHI02	Dinoroseobacter shibae DFL 12 = DSM 16493	Dinoroseobacter shibae	Dinoroseobacter	Rhodobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	152970	0.65152	NA	NA	NA	NA
NC_009957	NC_009957.1	Dinoroseobacter shibae DFL 12 plasmid pDSHI03, complete sequence	pDSHI03	Dinoroseobacter shibae DFL 12 = DSM 16493	Dinoroseobacter shibae	Dinoroseobacter	Rhodobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	126304	0.605278	NA	NA	NA	NA
NC_009958	NC_009958.1	Dinoroseobacter shibae DFL 12 plasmid pDSHI04, complete sequence	pDSHI04	Dinoroseobacter shibae DFL 12 = DSM 16493	Dinoroseobacter shibae	Dinoroseobacter	Rhodobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	86208	0.610454	NA	NA	NA	NA
NC_009959	NC_009959.1	Dinoroseobacter shibae DFL 12 plasmid pDSHI05, complete sequence	pDSHI05	Dinoroseobacter shibae DFL 12 = DSM 16493	Dinoroseobacter shibae	Dinoroseobacter	Rhodobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	72296	0.688738	NA	NA	NA	NA
NC_009966	NC_009966.1	Fluoribacter dumoffii Tex-KL plasmid pLD-TEX-KL, complete sequence	pLD-TEX-KL	Fluoribacter dumoffii Tex-KL	Fluoribacter dumoffii	Fluoribacter	Legionellaceae	Legionellales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	synonym: Legionella dumoffii	66512	0.389343	NA	MOBQ	NA	NA
NC_009980	NC_009980.1	Salmonella enterica subsp. enterica serovar Dublin plasmid pMAK2, complete sequence	pMAK2	Salmonella enterica subsp. enterica serovar Dublin	Salmonella enterica	Salmonella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	61571	0.537607	IncN	MOBF	70	NA
NC_009981	NC_009981.1	Salmonella enterica subsp. enterica serovar Choleraesuis plasmid pMAK1, complete sequence	pMAK1	Salmonella enterica subsp. enterica serovar Choleraesuis	Salmonella enterica	Salmonella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	208409	0.474025	IncHI1B(R27)|IncHI1A	MOBH	48	NA
NC_009982	NC_009982.1	Salmonella enterica subsp. enterica serovar Dublin plasmid pMAK3, complete sequence	pMAK3	Salmonella enterica subsp. enterica serovar Dublin	Salmonella enterica	Salmonella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	39924	0.568555	IncW	MOBF	162	NA
NC_009998	NC_009998.1	Shewanella baltica OS195 plasmid pS19501, complete sequence	pS19501	Shewanella baltica OS195	Shewanella baltica	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	75605	0.426625	NA	NA	NA	NA
NC_009999	NC_009999.1	Shewanella baltica OS195 plasmid pS19502, complete sequence	pS19502	Shewanella baltica OS195	Shewanella baltica	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	75508	0.441159	NA	NA	152	NA
NC_010000	NC_010000.1	Shewanella baltica OS195 plasmid pS19503, complete sequence	pS19503	Shewanella baltica OS195	Shewanella baltica	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	49148	0.42897	NA	MOBP	NA	NA
NC_010008	NC_010008.2	Bacillus megaterium QM B1551 plasmid pBM100, complete sequence	pBM100	Bacillus megaterium QM B1551	Bacillus megaterium	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	5428	0.348379	NA	NA	NA	NA
NC_010009	NC_010009.2	Bacillus megaterium QM B1551 plasmid pBM200, complete sequence	pBM200	Bacillus megaterium QM B1551	Bacillus megaterium	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	9098	0.345021	repUS3	MOBP	NA	NA
NC_010010	NC_010010.2	Bacillus megaterium QM B1551 plasmid pBM300, complete sequence	pBM300	Bacillus megaterium QM B1551	Bacillus megaterium	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	26587	0.354986	NA	MOBQ|MOBV	NA	NA
NC_010021	NC_010021.1	Zymomonas mobilis subsp. mobilis ATCC 10988 unknown plasmid, complete sequence	unknown plasmid	Zymomonas mobilis subsp. mobilis ATCC 10988	Zymomonas mobilis	Zymomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	2.7 kb plasmid	2749	0.412514	NA	MOBV	NA	NA
NC_010029	NC_010029.2	Chlamydia trachomatis plasmid pLGV440, complete sequence	pLGV440	Chlamydia trachomatis L1/440/LN	Chlamydia trachomatis	Chlamydia	Chlamydiaceae	Chlamydiales	Chlamydiia	Chlamydiae	Bacteria	NA	NA	NA	NA	7500	0.362533	NA	NA	5	NA
NC_010042	NC_010042.1	Actinobacillus pleuropneumoniae plasmid p9956, complete sequence	p9956	Actinobacillus pleuropneumoniae	Actinobacillus pleuropneumoniae	Actinobacillus	Pasteurellaceae	Pasteurellales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	5674	0.413994	NA	NA	531	NC_006828_position:4777-5082
NC_010063	NC_010063.1	Staphylococcus aureus subsp. aureus USA300_TCH1516 plasmid pUSA300HOUMR, complete sequence	pUSA300HOUMR	Staphylococcus aureus subsp. aureus USA300_TCH1516	Staphylococcus aureus	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	derived from methicillin-resistant clonal population USA300	27041	0.305166	rep16|rep19	NA	551	NA
NC_010064	NC_010064.1	Escherichia coli plasmid pLMO226, complete sequence	pLMO226	Escherichia coli	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	2004	0.52495	NA	NA	NA	NA
NC_010066	NC_010066.1	Staphylococcus aureus subsp. aureus USA300_TCH959 plasmid pUSA300HOUMS, complete sequence	pUSA300HOUMS	Staphylococcus aureus subsp. aureus USA300_TCH959	Staphylococcus aureus	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria	NA	NA	biological product [ENVO:02000043]	methicillin sensitive clone of USA300	20413	0.281487	rep20	NA	509	NA
NC_010069	NC_010069.1	Actinobacillus pleuropneumoniae plasmid p9555, complete sequence	p9555	Actinobacillus pleuropneumoniae	Actinobacillus pleuropneumoniae	Actinobacillus	Pasteurellaceae	Pasteurellales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	5673	0.393619	NA	NA	NA	NA
NC_010070	NC_010070.1	Burkholderia multivorans ATCC 17616 plasmid pBMUL01, complete sequence	pBMUL01	Burkholderia multivorans ATCC 17616	Burkholderia multivorans	Burkholderia	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	167422	0.613342	NA	NA	NA	NA
NC_010076	NC_010076.1	Bacillus thuringiensis serovar israelensis plasmid pBtoxis, complete sequence	pBtoxis	Bacillus thuringiensis serovar israelensis	Bacillus thuringiensis	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	127923	0.324156	NA	MOBC	NA	NA
NC_010077	NC_010077.1	Staphylococcus aureus plasmid EDINA, complete sequence	EDINA	Staphylococcus aureus	Staphylococcus aureus	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	34986	0.287344	rep16|rep19|rep20	NA	163	NA
NC_010078	NC_010078.1	Weissella cibaria plasmid pKLCA, complete sequence	pKLCA	Weissella cibaria	Weissella cibaria	Weissella	Leuconostocaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	NA	NA	Kimchi (traditional Korean food)	small cryptic plasmid; smallest of three small cryptic plasmids in Weissella cibaria	1490	0.416779	NA	NA	NA	NA
NC_010096	NC_010096.1	Streptococcus agalactiae plasmid pMV158, complete sequence	pMV158	Streptococcus agalactiae	Streptococcus agalactiae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	5541	0.37773	NA	MOBV	NA	NA
NC_010097	NC_010097.1	Streptomyces lavendulae Miniplasmid pSLG33, complete sequence	Miniplasmid pSLG33	Streptomyces lavendulae	Streptomyces lavendulae	Streptomyces	Streptomycetaceae	Streptomycetales	Actinobacteria	Actinobacteria	Bacteria	NA	NA	NA	NA	2661	0.651635	NA	NA	NA	NA
NC_010098	NC_010098.1	Lactobacillus plantarum plasmid pA1, complete sequence	pA1	Lactobacillus plantarum	Lactobacillus plantarum	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	2820	0.349645	NA	MOBV|MOBV	NA	NA
NC_010099	NC_010099.1	Burkholderia cepacia plasmid PPC1, complete sequence	PPC1	Burkholderia cepacia	Burkholderia cepacia	Burkholderia	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	1641	0.603291	NA	NA	NA	NA
NC_010111	NC_010111.1	Staphylococcus aureus plasmid pTZ4, complete sequence	pTZ4	Staphylococcus aureus	Staphylococcus aureus	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	99.9% identical to pC221	4555	0.315917	rep7	MOBP	43	NA
NC_010112	NC_010112.1	Vibrio sp. 23023 plasmid p23023, complete sequence	p23023	Vibrio sp. 23023	Vibrio sp. 23023	Vibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	52527	0.446951	NA	MOBC	NA	NA
NC_010113	NC_010113.1	Vibrio sp. 0908 plasmid p0908, complete sequence	p0908	Vibrio sp. 0908	Vibrio sp. 0908	Vibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	81413	0.491862	NA	NA	NA	NA
NC_010114	NC_010114.1	Vibrio sp. 09022 plasmid p09022A, complete sequence	p09022A	Vibrio sp. 09022	Vibrio sp. 09022	Vibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	31036	0.423508	NA	NA	NA	NA
NC_010115	NC_010115.1	Coxiella burnetii RSA 331 plasmid QpH1, complete sequence	QpH1	Coxiella burnetii RSA 331	Coxiella burnetii	Coxiella	Coxiellaceae	Legionellales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	37317	0.393306	NA	NA	40	NA
NC_010119	NC_010119.1	Salmonella enterica subsp. enterica serovar Choleraesuis plasmid pOU7519, complete sequence	pOU7519	Salmonella enterica subsp. enterica serovar Choleraesuis	Salmonella enterica	Salmonella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	hybrid of pSCV50 and pSC138	127212	0.528394	IncFIB(S)|IncFIB(K)|IncFII(S)	MOBF	NA	NA
NC_010123	NC_010123.1	Gluconacetobacter diazotrophicus PAl 5 plasmid pGDIPal5II, complete sequence	pGDIPal5II	Gluconacetobacter diazotrophicus PA1 5	Gluconacetobacter diazotrophicus	Gluconacetobacter	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	16610	0.639976	NA	NA	NA	NA
NC_010124	NC_010124.1	Gluconacetobacter diazotrophicus PAl 5 plasmid pGDIPal5I, complete sequence	pGDIPal5I	Gluconacetobacter diazotrophicus PA1 5	Gluconacetobacter diazotrophicus	Gluconacetobacter	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	38818	0.568061	NA	NA	NA	NA
NC_010157	NC_010157.1	Yersinia pestis Angola plasmid new_pCD, complete sequence	new_pCD	Yersinia pestis Angola	Yersinia pestis	Yersinia	Yersiniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	68190	0.446414	IncFII(Y)	NA	41	NA
NC_010158	NC_010158.1	Yersinia pestis Angola plasmid pMT-pPCP, complete sequence	pMT-pPCP	Yersinia pestis Angola	Yersinia pestis	Yersinia	Yersiniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	114570	0.499791	IncFIB(pHCM2)	NA	68	NA
NC_010164	NC_010164.1	Bifidobacterium sp. A24 plasmid pBIFA24, complete sequence	pBIFA24	Bifidobacterium sp. A24	Bifidobacterium sp. A24	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinobacteria	Actinobacteria	Bacteria	NA	NA	NA	NA	4892	0.617743	NA	NA	81	NA
NC_010177	NC_010177.2	Acetobacter pasteurianus plasmid pGR7, complete sequence	pGR7	Acetobacter pasteurianus	Acetobacter pasteurianus	Acetobacter	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria	NA	Czech Republic:Brno	NA	NA	2446	0.295585	NA	NA	NA	NA
NC_010230	NC_010230.1	Streptococcus pyogenes plasmid pDN281, complete sequence	pDN281	Streptococcus pyogenes	Streptococcus pyogenes	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	3041	0.34857	NA	NA	164	NA
NC_010242	NC_010242.1	Lactobacillus casei plasmid pSMA23, complete sequence	pSMA23	Lactobacillus casei	Lactobacillus casei	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	3497	0.381756	NA	MOBV	165	NA
NC_010243	NC_010243.1	Corynebacterium glutamicum plasmid pBl1, complete sequence	pBl1	Corynebacterium glutamicum	Corynebacterium glutamicum	Corynebacterium	Corynebacteriaceae	Corynebacteriales	Actinobacteria	Actinobacteria	Bacteria	NA	NA	NA	similar to the the plasmids represented in GenBank entries X03987 and D00038	4447	0.534068	NA	NA	10	NA
NC_010257	NC_010257.1	Escherichia coli plasmid MccC7-H22, complete sequence	MccC7-H22	Escherichia coli	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	encodes microcin C7	32014	0.434966	IncX9	NA	NA	NA
NC_010258	NC_010258.1	Coxiella burnetii 'MSU Goat Q177' plasmid QpRS, complete sequence	QpRS	Coxiella burnetii 'MSU Goat Q177'	Coxiella burnetii	Coxiella	Coxiellaceae	Legionellales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	39281	0.396578	NA	NA	40	NA
NC_010259	NC_010259.1	Salmonella enterica subsp. enterica serovar Newport plasmid pA172, complete sequence	pA172	Salmonella enterica subsp. enterica serovar Newport	Salmonella enterica	Salmonella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	ColE1-like plasmid	8197	0.430279	NA	NA	NA	NA
NC_010260	NC_010260.1	Streptococcus dysgalactiae subsp. equisimilis plasmid pW2580, complete sequence	pW2580	Streptococcus dysgalactiae subsp. equisimilis	Streptococcus dysgalactiae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	3043	0.350312	NA	NA	164	NA
NC_010261	NC_010261.1	Klebsiella pneumoniae plasmid pH205, complete sequence	pH205	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	ColE1-like plasmid	8197	0.429669	NA	NA	NA	NA
NC_010262	NC_010262.1	Staphylococcus aureus plasmid pKH16, complete sequence	pKH16	Staphylococcus aureus	Staphylococcus aureus	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	pT181 family plasmid	4442	0.30054	NA	MOBV	11	NA
NC_010279	NC_010279.1	Staphylococcus aureus plasmid pV030-8, complete sequence	pV030-8	Staphylococcus aureus	Staphylococcus aureus	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	39041	0.281345	rep23	MOBV	99	NA
NC_010281	NC_010281.1	Bacillus thuringiensis plasmid pFR12, complete sequence	pFR12	Bacillus thuringiensis	Bacillus thuringiensis	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	12095	0.312112	NA	MOBV	NA	NA
NC_010282	NC_010282.1	Bacillus thuringiensis plasmid pFR12.5, complete sequence	pFR12.5	Bacillus thuringiensis	Bacillus thuringiensis	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	12459	0.294406	NA	NA	NA	NA
NC_010283	NC_010283.1	Bacillus thuringiensis plasmid pFR55, complete sequence	pFR55	Bacillus thuringiensis	Bacillus thuringiensis	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	55712	0.337001	NA	MOBC	NA	NA
NC_010284	NC_010284.1	Staphylococcus aureus plasmid pKH17, complete sequence	pKH17	Staphylococcus aureus	Staphylococcus aureus	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	pKH17 is a pT181 family plasmid	4441	0.300158	NA	MOBV	11	NA
NC_010286	NC_010286.1	Chlamydia trachomatis plasmid pUCH-1, complete sequence	pUCH-1	Chlamydia trachomatis	Chlamydia trachomatis	Chlamydia	Chlamydiaceae	Chlamydiales	Chlamydiia	Chlamydiae	Bacteria	NA	NA	NA	NA	7500	0.362267	NA	NA	5	NA
NC_010290	NC_010290.1	Enterococcus faecium plasmid pJS33, complete sequence	pJS33	Enterococcus faecium	Enterococcus faecium	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	3175	0.329134	NA	NA	NA	NA
NC_010291	NC_010291.1	Enterococcus faecium plasmid pJS42, complete sequence	pJS42	Enterococcus faecium	Enterococcus faecium	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	4147	0.368218	NA	MOBV	166	NA
NC_010309	NC_010309.1	Acinetobacter venetianus strain VE-C3 plasmid pAV1, complete sequence	pAV1	Acinetobacter venetianus	Acinetobacter venetianus	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	10820	0.345564	NA	NA	NA	NA
NC_010310	NC_010310.1	Acinetobacter venetianus strain VE-C3 plasmid pAV2, complete sequence	pAV2	Acinetobacter venetianus	Acinetobacter venetianus	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	15135	0.364123	NA	MOBQ	NA	NA
NC_010311	NC_010311.1	Streptomyces sp. HK1 plasmid pSHK1, complete sequence	pSHK1	Streptomyces sp. HK1	Streptomyces sp. HK1	Streptomyces	Streptomycetaceae	Streptomycetales	Actinobacteria	Actinobacteria	Bacteria	NA	NA	NA	NA	187263	0.701116	NA	MOBC	NA	NA
NC_010312	NC_010312.2	Leuconostoc citreum plasmid pCB42 DNA, complete sequence	pCB42	Leuconostoc citreum	Leuconostoc citreum	Leuconostoc	Leuconostocaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	4312	0.345779	NA	NA	168	NA
NC_010330	NC_010330.1	Enterococcus faecium plasmid pRI1, complete sequence	pRI1	Enterococcus faecium	Enterococcus faecium	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	cryptic mobilizable plasmid	6038	0.360715	rep14	MOBV	166	NA
NC_010331	NC_010331.1	Francisella philomiragia subsp. philomiragia ATCC 25017 plasmid pFPHI01, complete sequence	pFPHI01	Francisella philomiragia subsp. philomiragia ATCC 25017	Francisella philomiragia	Francisella	Francisellaceae	Thiotrichales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	3936	0.284299	NA	NA	169	NA
NC_010332	NC_010332.1	Collimonas fungivorans plasmid pTer331, complete sequence	pTer331	Collimonas fungivorans Ter331	Collimonas fungivorans	Collimonas	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	40457	0.605952	NA	NA	NA	NA
NC_010333	NC_010333.1	Caulobacter sp. K31 plasmid pCAUL02, complete sequence	pCAUL02	Caulobacter sp. K31	Caulobacter sp. K31	Caulobacter	Caulobacteraceae	Caulobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	177878	0.642654	NA	NA	NA	NA
NC_010335	NC_010335.1	Caulobacter sp. K31 plasmid pCAUL01, complete sequence	pCAUL01	Caulobacter sp. K31	Caulobacter sp. K31	Caulobacter	Caulobacteraceae	Caulobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	233649	0.670022	NA	NA	NA	NA
NC_010370	NC_010370.1	Laribacter hongkongensis plasmid pHLHK22, complete sequence	pHLHK22	Laribacter hongkongensis	Laribacter hongkongensis	Laribacter	Chromobacteriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	15665	0.611108	NA	MOBP	NA	NA
NC_010371	NC_010371.1	Finegoldia magna ATCC 29328 plasmid pFMC DNA, complete sequence	pFMC	Finegoldia magna ATCC 29328	Finegoldia magna	Finegoldia	Peptoniphilaceae	Tissierellales	Tissierellia	Firmicutes	Bacteria	NA	NA	NA	NA	189163	0.297262	NA	NA	NA	NA
NC_010372	NC_010372.1	Myxococcus fulvus strain 124B02 plasmid pMF1, complete sequence	pMF1	Myxococcus fulvus	Myxococcus fulvus	Myxococcus	Myxococcaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	18634	0.68697	NA	NA	NA	NA
NC_010373	NC_010373.1	Methylobacterium sp. 4-46 plasmid pM44601, complete sequence	pM44601	Methylobacterium sp. 4-46	Methylobacterium sp. 4-46	Methylobacterium	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	57951	0.651136	NA	NA	NA	NA
NC_010374	NC_010374.1	Methylobacterium sp. 4-46 plasmid pM44602, complete sequence	pM44602	Methylobacterium sp. 4-46	Methylobacterium sp. 4-46	Methylobacterium	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	20019	0.591588	NA	NA	NA	NA
NC_010375	NC_010375.1	Lactobacillus sakei strain Rits9 plasmid pLS55, complete sequence	pLS55	Lactobacillus sakei	Lactobacillus sakei	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	5031	0.367323	NA	MOBV	170	NC_010875_position:500-1156
NC_010377	NC_010377.1	Yersinia enterocolitica plasmid pYE854, complete sequence	pYE854	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia	Yersiniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	Germany	food	NA	95499	0.421879	pYE854	NA	171	NA
NC_010378	NC_010378.1	Escherichia coli plasmid pOLA52, complete sequence	pOLA52	Escherichia coli	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	swine manure	NA	51602	0.462501	IncX1	NA	172	NA
NC_010379	NC_010379.1	Clostridium botulinum B1 str. Okra plasmid pCLD, complete sequence	pCLD	Clostridium botulinum B1 str. Okra	Clostridium botulinum	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	NA	NA	NA	NA	148780	0.253562	NA	NA	NA	NA
NC_010394	NC_010394.1	Mycobacterium abscessus plasmid, complete sequence		Mycobacteroides abscessus	Mycobacteroides abscessus	Mycobacteroides	Mycobacteriaceae	Corynebacteriales	Actinobacteria	Actinobacteria	Bacteria	NA	NA	NA	Genoscope sequence ID : MYCOBACTERIUM_ABSCESSUS_PLASMIDE	23319	0.678631	NA	NA	NA	NA
NC_010405	NC_010405.1	Paulownia witches'-broom phytoplasma plasmid pPaWBNy-1, complete sequence	pPaWBNy-1	Paulownia witches'-broom phytoplasma	Paulownia witches'-broom phytoplasma	Candidatus Phytoplasma	Acholeplasmataceae	Acholeplasmatales	Mollicutes	Tenericutes	Bacteria	NA	NA	NA	NA	4485	0.248161	NA	NA	NA	NA
NC_010406	NC_010406.1	Paulownia witches'-broom phytoplasma plasmid pPaWBNy-2, complete sequence	pPaWBNy-2	Paulownia witches'-broom phytoplasma	Paulownia witches'-broom phytoplasma	Candidatus Phytoplasma	Acholeplasmataceae	Acholeplasmatales	Mollicutes	Tenericutes	Bacteria	NA	NA	NA	NA	3837	0.258796	NA	NA	NA	NA
NC_010409	NC_010409.1	Escherichia coli plasmid pVM01, complete sequence	pVM01	Escherichia coli	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	Avian Pathogenic Escherichia coli strain E3	151002	0.494735	IncFIB(AP001918)|IncFII(pSE11)	MOBF	555	NA
